invoice_id,customer_id,invoice_month,billed_amount,discount_amount,paid_amount,payment_status
INV-0001-202605,1,2026-05-01,16632,1267.98,15364.02,Paid
INV-0002-202408,2,2024-08-01,588,0.0,588.0,Paid
INV-0002-202508,2,2025-08-01,588,43.26,0.0,Failed
INV-0003-202607,3,2026-07-01,1188,0.0,1188.0,Paid
INV-0004-202310,4,2023-10-01,245,0.0,245.0,Paid
INV-0004-202311,4,2023-11-01,245,0.0,245.0,Paid
INV-0004-202312,4,2023-12-01,245,15.11,229.89,Paid
INV-0004-202401,4,2024-01-01,245,57.95,187.05,Paid
INV-0004-202402,4,2024-02-01,245,0.0,245.0,Paid
INV-0004-202403,4,2024-03-01,245,0.0,245.0,Paid
INV-0004-202404,4,2024-04-01,245,0.0,245.0,Paid
INV-0004-202405,4,2024-05-01,245,0.0,245.0,Paid
INV-0004-202406,4,2024-06-01,245,0.0,0.0,Failed
INV-0004-202407,4,2024-07-01,245,0.0,0.0,Failed
INV-0004-202408,4,2024-08-01,245,0.0,245.0,Paid
INV-0004-202409,4,2024-09-01,245,0.0,245.0,Paid
INV-0004-202410,4,2024-10-01,245,0.0,245.0,Paid
INV-0004-202411,4,2024-11-01,245,0.0,245.0,Paid
INV-0004-202412,4,2024-12-01,245,0.0,245.0,Paid
INV-0004-202501,4,2025-01-01,245,0.0,245.0,Paid
INV-0004-202502,4,2025-02-01,245,0.0,245.0,Paid
INV-0004-202503,4,2025-03-01,245,0.0,245.0,Paid
INV-0004-202504,4,2025-04-01,245,0.0,245.0,Paid
INV-0004-202505,4,2025-05-01,245,0.0,245.0,Paid
INV-0004-202506,4,2025-06-01,245,0.0,245.0,Paid
INV-0004-202507,4,2025-07-01,245,0.0,0.0,Failed
INV-0004-202508,4,2025-08-01,245,0.0,245.0,Paid
INV-0004-202509,4,2025-09-01,245,0.0,245.0,Paid
INV-0004-202510,4,2025-10-01,245,0.0,245.0,Paid
INV-0004-202511,4,2025-11-01,245,0.0,245.0,Paid
INV-0004-202512,4,2025-12-01,245,0.0,245.0,Paid
INV-0004-202601,4,2026-01-01,245,0.0,245.0,Paid
INV-0004-202602,4,2026-02-01,245,24.9,220.1,Paid
INV-0004-202603,4,2026-03-01,245,0.0,245.0,Paid
INV-0004-202604,4,2026-04-01,245,0.0,245.0,Paid
INV-0004-202605,4,2026-05-01,245,0.0,245.0,Paid
INV-0004-202606,4,2026-06-01,245,0.0,245.0,Paid
INV-0004-202607,4,2026-07-01,245,0.0,245.0,Paid
INV-0005-202603,5,2026-03-01,1584,0.0,1584.0,Paid
INV-0005-202604,5,2026-04-01,1584,0.0,1584.0,Paid
INV-0005-202605,5,2026-05-01,1584,0.0,1584.0,Paid
INV-0005-202606,5,2026-06-01,1584,0.0,1584.0,Paid
INV-0005-202607,5,2026-07-01,1584,376.29,1207.71,Paid
