subscription_id,customer_id,plan_name,billing_cycle,monthly_price,seats,start_date,renewal_date,status
S0001,1,Growth,Annual,99,14,2026-04-06,2027-04-06,Active
S0002,2,Starter,Annual,49,1,2024-08-01,2025-08-01,Active
S0003,3,Growth,Monthly,99,12,2026-06-03,2026-07-03,Active
S0004,4,Starter,Monthly,49,5,2023-09-02,2023-10-02,Active
S0005,5,Growth,Monthly,99,16,2026-02-07,2026-03-09,Active
S0006,6,Growth,Monthly,99,20,2026-04-22,2026-05-22,Active
S0007,7,Growth,Annual,99,5,2023-07-28,2024-07-27,Active
S0008,8,Starter,Monthly,49,1,2024-09-21,2024-10-21,Active
S0009,9,Growth,Annual,99,19,2023-12-23,2024-12-22,Active
S0010,10,Growth,Monthly,99,19,2025-01-02,2025-02-01,Active
S0011,11,Starter,Monthly,49,1,2024-01-27,2024-02-26,Active
S0012,12,Growth,Annual,99,6,2026-03-20,2027-03-20,Active
S0013,13,Starter,Annual,49,1,2023-11-03,2024-11-02,Active
S0014,14,Pro,Annual,249,77,2023-11-18,2024-11-17,Active
S0015,15,Starter,Monthly,49,4,2024-09-21,2024-10-21,Active
S0016,16,Growth,Monthly,99,7,2025-02-12,2025-03-14,Active
S0017,17,Enterprise,Monthly,599,106,2026-06-13,2026-07-13,Active
S0018,18,Starter,Annual,49,3,2024-08-01,2025-08-01,Active
S0019,19,Growth,Annual,99,19,2026-04-07,2027-04-07,Active
S0020,20,Enterprise,Annual,599,243,2023-10-12,2024-10-11,Active
S0021,21,Enterprise,Monthly,599,211,2025-04-01,2025-05-01,Active
S0022,22,Pro,Monthly,249,74,2025-12-15,2026-01-14,Active
S0023,23,Pro,Annual,249,24,2026-04-11,2027-04-11,Active
S0024,24,Pro,Annual,249,80,2025-12-06,2026-12-06,Active
S0025,25,Starter,Monthly,49,4,2025-03-29,2025-04-28,Active
S0026,26,Pro,Monthly,249,45,2025-09-16,2025-10-16,Active
S0027,27,Growth,Monthly,99,5,2024-01-04,2024-02-03,Active
S0028,28,Growth,Annual,99,8,2025-05-03,2026-05-03,Active
S0029,29,Starter,Annual,49,2,2025-10-16,2026-10-16,Active
S0030,30,Starter,Monthly,49,1,2023-08-04,2023-09-03,Active
S0031,31,Growth,Monthly,99,16,2024-09-04,2024-10-04,Active
S0032,32,Growth,Annual,99,10,2023-07-23,2024-07-22,Active
S0033,33,Enterprise,Monthly,599,131,2024-04-20,2024-05-20,Active
S0034,34,Pro,Monthly,249,43,2026-04-05,2026-05-05,Active
S0035,35,Growth,Annual,99,9,2025-11-01,2026-11-01,Active
S0036,36,Starter,Annual,49,4,2024-01-07,2025-01-06,Active
S0037,37,Pro,Monthly,249,61,2024-11-06,2024-12-06,Active
S0038,38,Growth,Annual,99,10,2023-11-17,2024-11-16,Active
S0039,39,Growth,Monthly,99,9,2025-10-22,2025-11-21,Active
S0040,40,Starter,Monthly,49,3,2025-11-18,2025-12-18,Active
S0041,41,Starter,Annual,49,2,2025-05-05,2026-05-05,Active
S0042,42,Starter,Monthly,49,5,2026-06-23,2026-07-23,Active
S0043,43,Growth,Annual,99,6,2026-05-26,2027-05-26,Active
S0044,44,Starter,Annual,49,2,2024-08-06,2025-08-06,Active
S0045,45,Starter,Annual,49,3,2026-01-16,2027-01-16,Active
S0046,46,Pro,Annual,249,24,2026-03-24,2027-03-24,Active
S0047,47,Starter,Annual,49,4,2024-12-12,2025-12-12,Active
S0048,48,Starter,Monthly,49,3,2026-05-22,2026-06-21,Active
S0049,49,Starter,Annual,49,2,2025-12-21,2026-12-21,Active
S0050,50,Starter,Monthly,49,4,2024-05-08,2024-06-07,Active
S0051,51,Starter,Monthly,49,1,2025-01-18,2025-02-17,Active
S0052,52,Enterprise,Annual,599,163,2023-10-10,2024-10-09,Active
S0053,53,Enterprise,Annual,599,211,2024-12-26,2025-12-26,Active
S0054,54,Growth,Annual,99,5,2025-10-28,2026-10-28,Active
S0055,55,Growth,Monthly,99,16,2025-07-05,2025-08-04,Active
S0056,56,Starter,Annual,49,3,2025-06-05,2026-06-05,Active
S0057,57,Growth,Annual,99,17,2023-08-09,2024-08-08,Active
S0058,58,Growth,Monthly,99,14,2024-04-01,2024-05-01,Active
S0059,59,Growth,Annual,99,8,2025-03-31,2026-03-31,Active
S0060,60,Growth,Annual,99,16,2025-03-15,2026-03-15,Active
S0061,61,Starter,Annual,49,5,2024-10-03,2025-10-03,Active
S0062,62,Starter,Annual,49,4,2025-11-27,2026-11-27,Active
S0063,63,Enterprise,Monthly,599,180,2023-10-16,2023-11-15,Active
S0064,64,Enterprise,Annual,599,292,2023-10-03,2024-10-02,Active
S0065,65,Growth,Annual,99,14,2023-10-14,2024-10-13,Active
S0066,66,Starter,Annual,49,1,2026-05-31,2027-05-31,Active
S0067,67,Pro,Monthly,249,36,2024-08-03,2024-09-02,Active
S0068,68,Pro,Monthly,249,30,2026-01-09,2026-02-08,Active
S0069,69,Growth,Annual,99,12,2024-11-17,2025-11-17,Active
