customer_id,month,active_users,sessions,feature_adoption_score,api_calls
1,2026-04-01,10,78,0.68,435
1,2026-05-01,5,58,0.51,275
1,2026-06-01,5,75,0.53,474
1,2026-07-01,5,69,0.62,213
2,2024-08-01,1,30,0.6,131
2,2024-09-01,1,37,0.54,125
2,2024-10-01,1,12,0.52,24
2,2024-11-01,1,34,0.89,232
2,2024-12-01,1,18,0.49,109
2,2025-01-01,1,17,0.48,126
2,2025-02-01,1,45,0.53,146
2,2025-03-01,1,13,0.83,101
2,2025-04-01,1,35,0.7,222
2,2025-05-01,1,24,0.57,76
2,2025-06-01,1,49,0.64,270
2,2025-07-01,1,34,0.85,178
2,2025-08-01,1,38,0.5,77
2,2025-09-01,1,20,0.69,125
2,2025-10-01,1,44,0.57,118
2,2025-11-01,1,16,0.51,75
2,2025-12-01,1,42,0.43,267
2,2026-01-01,1,49,0.42,263
2,2026-02-01,1,44,0.75,236
2,2026-03-01,1,23,0.72,118
2,2026-04-01,1,24,0.39,176
2,2026-05-01,1,41,0.56,116
2,2026-06-01,1,48,0.48,118
2,2026-07-01,1,31,0.71,178
3,2026-06-01,6,45,0.54,328
3,2026-07-01,6,67,0.39,498
4,2024-08-01,2,10,0.79,71
4,2024-09-01,1,48,0.56,249
4,2024-10-01,3,46,0.46,138
4,2024-11-01,3,41,0.48,254
4,2024-12-01,2,21,0.31,77
4,2025-01-01,2,26,0.6,204
4,2025-02-01,1,37,0.67,127
4,2025-03-01,3,11,0.56,51
4,2025-04-01,2,15,0.77,51
4,2025-05-01,2,47,0.71,272
4,2025-06-01,2,15,0.68,43
4,2025-07-01,3,15,0.68,107
4,2025-08-01,1,45,0.37,264
4,2025-09-01,2,42,0.61,214
4,2025-10-01,1,49,0.48,369
4,2025-11-01,3,39,0.55,131
4,2025-12-01,3,25,0.8,86
4,2026-01-01,3,21,0.98,153
4,2026-02-01,2,18,0.72,128
4,2026-03-01,3,42,0.67,105
4,2026-04-01,3,17,0.73,71
4,2026-05-01,3,34,0.87,69
4,2026-06-01,2,27,0.62,82
4,2026-07-01,2,13,0.6,51
5,2026-02-01,8,59,0.73,227
5,2026-03-01,9,51,0.74,296
5,2026-04-01,7,61,0.59,448
5,2026-05-01,8,66,0.65,270
5,2026-06-01,10,72,0.39,456
5,2026-07-01,10,58,0.59,383
6,2026-04-01,17,56,0.33,408
6,2026-05-01,17,76,0.56,347
6,2026-06-01,17,70,0.53,301
6,2026-07-01,9,62,0.72,304
7,2024-08-01,3,57,0.63,308
7,2024-09-01,2,63,0.66,379
7,2024-10-01,1,62,0.76,399
7,2024-11-01,1,72,0.61,450
7,2024-12-01,2,78,0.68,561
7,2025-01-01,1,52,0.68,105
7,2025-02-01,3,75,0.8,508
7,2025-03-01,4,51,0.75,110
7,2025-04-01,1,73,0.53,349
7,2025-05-01,3,61,0.61,133
7,2025-06-01,2,45,0.3,313
7,2025-07-01,2,44,0.66,310
7,2025-08-01,3,71,0.92,451
7,2025-09-01,4,52,0.7,326
7,2025-10-01,3,58,0.53,143
7,2025-11-01,2,76,0.35,188
7,2025-12-01,3,48,0.37,123
7,2026-01-01,3,64,0.55,235
7,2026-02-01,3,55,0.48,350
7,2026-03-01,2,42,0.89,173
7,2026-04-01,1,76,0.5,194
7,2026-05-01,4,69,0.56,429
7,2026-06-01,1,51,0.7,207
7,2026-07-01,3,69,0.69,157
8,2024-09-01,1,14,0.6,73
8,2024-10-01,1,13,0.71,99
8,2024-11-01,1,11,0.7,59
8,2024-12-01,1,44,0.62,208
8,2025-01-01,1,46,0.68,149
8,2025-02-01,1,38,0.76,98
8,2025-03-01,1,11,0.37,65
8,2025-04-01,1,38,0.77,81
8,2025-05-01,1,43,0.89,175
8,2025-06-01,1,20,0.59,128
8,2025-07-01,1,30,0.27,162
8,2025-08-01,1,44,0.81,196
8,2025-09-01,1,27,0.76,145
8,2025-10-01,1,21,0.63,136
8,2025-11-01,1,34,0.69,169
8,2025-12-01,1,34,0.26,250
8,2026-01-01,1,45,0.65,346
8,2026-02-01,1,28,0.58,69
8,2026-03-01,1,14,0.78,91
8,2026-04-01,1,32,0.42,85
8,2026-05-01,1,48,0.87,374
8,2026-06-01,1,18,0.66,102
8,2026-07-01,1,47,0.54,325
9,2024-08-01,6,41,0.63,102
9,2024-09-01,12,58,0.64,321
9,2024-10-01,9,75,0.57,187
9,2024-11-01,10,78,0.55,375
9,2024-12-01,7,59,0.6,159
9,2025-01-01,14,78,0.67,331
9,2025-02-01,15,64,0.61,213
9,2025-03-01,14,45,0.61,177
9,2025-04-01,11,55,0.66,437
9,2025-05-01,8,76,0.53,227
9,2025-06-01,9,53,0.63,422
9,2025-07-01,15,42,0.93,153
9,2025-08-01,13,67,0.48,290
9,2025-09-01,6,67,0.65,258
9,2025-10-01,12,59,0.88,213
9,2025-11-01,16,52,0.71,234
9,2025-12-01,15,69,0.82,156
9,2026-01-01,14,72,0.65,306
9,2026-02-01,10,65,0.6,508
9,2026-03-01,12,66,0.63,343
9,2026-04-01,17,44,0.53,234
9,2026-05-01,13,76,0.5,261
9,2026-06-01,7,48,0.8,370
9,2026-07-01,8,52,0.65,118
10,2025-01-01,6,70,0.67,422
